CCDHSVThresholding
"images\1.0_image1.jpg, Yes"
"images\1.0_image10.jpg, Yes"
"images\1.0_image2.jpg, No"
"images\1.0_image3.jpg, No"
"images\1.0_image4.jpg, No"
"images\1.0_image5.jpg, No"
"images\1.0_image6.jpg, No"
"images\1.0_image7.jpg, No"
"images\1.0_image8.jpg, No"
"images\1.0_image9.jpg, Yes"
"images\20230330_132518.jpg, No"
"images\20230330_132520.jpg, No"
"images\20230330_132526.jpg, No"
"images\20230330_132539.jpg, No"
"images\20230330_132541.jpg, No"
"images\20230330_132545.jpg, No"
"images\20230330_132548.jpg, No"
"images\20230330_142952.jpg, Yes"
"images\20230330_142956.jpg, Yes"
"images\20230330_142958.jpg, Yes"
"images\20230330_143003.jpg, No"
"images\20230330_143013.jpg, No"
"images\20230330_143016.jpg, No"
"images\20230330_143023.jpg, No"
"images\20230330_143026.jpg, No"
"images\20230330_143035.jpg, No"
"images\20230330_143038.jpg, Yes"
"images\20230330_143127.jpg, Yes"
"images\20230330_143129.jpg, Yes"
"images\20230330_143132.jpg, No"
"images\20230330_143135.jpg, No"
"images\20230330_143138.jpg, No"
"images\20230330_143141.jpg, Yes"
"images\20230330_143150.jpg, Yes"
"images\20230330_143200.jpg, Yes"
"images\20230330_143209.jpg, Yes"
"images\20230330_143221.jpg, Yes"
"images\20230330_143223.jpg, No"
"images\20230330_143224.jpg, No"
"images\20230330_143233.jpg, No"
"images\20230330_143235.jpg, Yes"
"images\20230330_143258.jpg, Yes"
"images\20230330_143301.jpg, Yes"
"images\20230330_143305.jpg, No"
"images\20230330_143309.jpg, No"
"images\20230330_143312.jpg, No"
"images\20230330_143322.jpg, Yes"
"images\20230330_143326.jpg, Yes"
"images\20230330_143328.jpg, No"
"images\20230330_143337.jpg, Yes"
"images\20230330_143341.jpg, No"
"images\20230330_143343.jpg, No"
"images\20230330_143348.jpg, Yes"
"images\20230330_143353.jpg, No"
"images\20230330_143402.jpg, No"
"images\20230330_143406.jpg, No"
"images\20230330_143410.jpg, No"
"images\4.5_image1.jpg, No"
"images\4.5_image2.jpg, No"
"images\4.5_image3.jpg, No"
"images\4.5_image4.jpg, No"
"images\4.5_image5.jpg, No"
"images\4.5_image6.jpg, Yes"
"images\4.5_image7.jpg, No"
"images\4.5_image8.jpg, No"
